swizzle,swizzle_n_maj,denoise_dtype,skip_denoising,pipeline_stages,median_ms,mean_ms,min_ms,max_ms,tops
32,False,fp16,True,2,10.79372787475586,11.326782417297363,9.685279846191406,13.98031997680664,38.19967162413997
32,False,int32,False,,11.285935878753662,11.433897638320923,9.593055725097656,13.670207977294922,36.533688020699024
32,False,int32,False,1,10.577040195465088,11.08551516532898,9.355039596557617,13.118207931518555,38.98225333328894
32,False,int32,False,2,11.3396315574646,11.641329574584962,9.700384140014648,13.946784019470215,36.360692878472044
32,False,int32,True,,10.856080055236816,11.380571126937866,9.711551666259766,13.581567764282227,37.98027080844013
32,False,int32,True,1,10.878064155578613,11.326472043991089,9.353759765625,13.559904098510742,37.90351431275122
32,False,int32,True,2,11.361584186553955,11.450158309936523,9.382783889770508,13.347647666931152,36.29043746416655
64,True,fp16,False,,10.574592113494873,10.909832000732422,9.347840309143066,13.327520370483398,38.99127796048205
64,True,fp16,False,1,10.646671772003174,11.294718360900879,9.351712226867676,14.211039543151855,38.72730081716631
64,True,fp16,False,2,10.270800113677979,11.249283266067504,9.79043197631836,13.62822437286377,40.14457061304342
64,True,fp16,True,,10.670079708099365,11.062553596496581,9.662240028381348,12.995936393737793,38.642341172298984
64,True,fp16,True,1,10.585503578186035,11.324724674224854,9.616031646728516,13.828415870666504,38.951086017832694
64,True,fp16,True,2,10.358880043029785,10.964076805114747,9.366016387939453,13.37724781036377,39.80322763689469
64,True,int32,False,,10.650847911834717,11.414451122283936,9.40287971496582,13.713600158691406,38.71211605208005
64,True,int32,False,1,10.75705623626709,11.389025735855103,9.699295997619629,13.455967903137207,38.32989726556288
64,True,int32,False,2,10.53886365890503,11.244921445846558,9.39798355102539,13.725472450256348,39.12346470746914
64,True,int32,True,,11.27243185043335,11.578374338150024,9.66051197052002,13.703328132629395,36.57745426069257
